SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;IERC20Internal;interface;9;8;0;0;0;0;0;0;0;0;0;2;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;IERC20Internal;interface;9;8;0;0;0;0;0;0;0;0;0;2;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;ERC1155Base;contract;112;85;18;6;7;1;1;18;18;2;4;1;0;0;11;1.1666666666666667;0.16666666666666666;0.16666666666666666;3.0;3.0;1.8333333333333333
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;IVolatilitySurfaceOracle;interface;46;40;0;7;7;0;0;24;0;0;0;0;1;0;0;1.0;0.0;0.0;3.4285714285714284;0.0;0.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;ERC1155BaseStorage;library;16;14;0;1;1;0;0;0;2;0;0;0;0;1;0;1.0;0.0;0.0;0.0;2.0;0.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;EnumerableSet;library;209;173;3;24;26;2;2;44;40;0;0;0;0;0;22;1.0833333333333333;0.08333333333333333;0.08333333333333333;1.8333333333333333;1.6666666666666667;0.9166666666666666
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;IERC165;interface;8;3;5;1;1;0;0;1;0;0;0;5;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;ERC165;contract;15;11;3;1;1;0;0;1;1;1;1;0;1;0;2;1.0;0.0;0.0;1.0;1.0;2.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;AggregatorV3Interface;interface;51;42;3;5;5;0;0;1;0;0;0;0;0;0;0;1.0;0.0;0.0;0.2;0.0;0.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;IERC20;interface;57;17;35;6;6;0;0;10;0;1;1;1;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;ERC1155EnumerableStorage;library;17;15;0;1;1;0;0;0;2;0;0;0;1;1;0;1.0;0.0;0.0;0.0;2.0;0.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;IWETH;interface;13;4;8;2;2;0;0;1;0;2;3;0;0;0;0;1.0;0.0;0.0;0.5;0.0;0.0
